iter	Passed	Remaining
772	12703	3730
773	12719	3713
774	12734	3697
775	12751	3680
776	12767	3664
777	12784	3647
778	12799	3631
779	12815	3614
780	12831	3598
781	12845	3581
782	12862	3564
783	12877	3547
784	12893	3531
785	12908	3514
786	12925	3498
787	12940	3481
788	12956	3464
789	12971	3448
790	12988	3431
791	13006	3415
792	13022	3399
793	13038	3382
794	13054	3366
795	13071	3349
796	13087	3333
797	13104	3317
798	13121	3300
799	13137	3284
800	13152	3267
801	13167	3250
802	13182	3234
803	13198	3217
804	13214	3200
805	13230	3184
806	13245	3167
807	13261	3151
808	13277	3134
809	13294	3118
810	13310	3101
811	13326	3085
812	13343	3069
813	13359	3052
814	13376	3036
815	13392	3019
816	13408	3003
817	13424	2986
818	13443	2971
819	13460	2954
820	13477	2938
821	13492	2921
822	13508	2905
823	13525	2888
824	13542	2872
825	13556	2855
826	13571	2839
827	13586	2822
828	13602	2805
829	13617	2789
830	13634	2772
831	13650	2756
832	13665	2739
833	13681	2723
834	13696	2706
835	13711	2689
836	13727	2673
837	13743	2656
838	13759	2640
839	13774	2623
840	13790	2607
841	13805	2590
842	13821	2574
843	13837	2557
844	13854	2541
845	13870	2524
846	13887	2508
847	13903	2492
848	13920	2475
849	13937	2459
850	13952	2442
851	13966	2426
852	13983	2409
853	13998	2393
854	14015	2376
855	14031	2360
856	14047	2343
857	14063	2327
858	14078	2310
859	14094	2294
860	14110	2277
861	14127	2261
862	14143	2245
863	14159	2228
864	14175	2212
865	14192	2195
866	14209	2179
867	14224	2163
868	14240	2146
869	14257	2130
870	14274	2114
871	14289	2097
872	14306	2081
873	14323	2064
874	14338	2048
875	14354	2031
876	14370	2015
877	14385	1998
878	14401	1982
879	14419	1966
880	14474	1955
881	14523	1943
882	14544	1927
883	14559	1910
884	14575	1893
885	14592	1877
886	14608	1861
887	14624	1844
888	14640	1827
889	14656	1811
890	14672	1794
891	14688	1778
892	14703	1761
893	14717	1745
894	14733	1728
895	14749	1712
896	14765	1695
897	14783	1679
898	14797	1662
899	14813	1645
900	14830	1629
901	14845	1612
902	14861	1596
903	14876	1579
904	14893	1563
905	14910	1546
906	14927	1530
907	14942	1513
908	14958	1497
909	14975	1481
910	14992	1464
911	15007	1448
912	15023	1431
913	15039	1415
914	15056	1398
915	15071	1382
916	15089	1365
917	15104	1349
918	15121	1332
919	15138	1316
920	15153	1299
921	15169	1283
922	15185	1266
923	15200	1250
924	15217	1233
925	15232	1217
926	15247	1200
927	15264	1184
928	15280	1167
929	15296	1151
930	15312	1134
931	15327	1118
932	15343	1101
933	15359	1085
934	15376	1068
935	15392	1052
936	15408	1036
937	15424	1019
938	15440	1003
939	15457	986
940	15474	970
941	15490	953
942	15507	937
943	15523	920
944	15539	904
945	15553	887
946	15568	871
947	15584	854
948	15600	838
949	15616	821
950	15632	805
951	15649	789
952	15664	772
953	15681	756
954	15695	739
955	15711	723
956	15727	706
957	15742	690
958	15757	673
959	15773	657
960	15788	640
961	15805	624
962	15820	607
963	15837	591
964	15852	574
965	15868	558
966	15885	542
967	15901	525
968	15919	509
969	15937	492
970	15953	476
971	15970	460
972	15987	443
973	16003	427
974	16019	410
975	16036	394
976	16052	377
977	16067	361
978	16084	345
979	16101	328
980	16117	312
981	16134	295
982	16149	279
983	16163	262
984	16179	246
985	16195	229
986	16212	213
987	16228	197
988	16243	180
989	16258	164
990	16275	147
991	16291	131
992	16309	114
993	16324	98
994	16340	82
995	16356	65
996	16371	49
997	16388	32
998	16404	16
999	16420	0
